bill_id,title,description
1835423,Electric vehicle charging stations assessment.,"An act to add and repeal Chapter 8.8 (commencing with Section 44268.8) of Part 5 of Division 26 of the Health and Safety Code, relating to electric vehicles."
1835424,Public contracts: small business participation.,"An act to amend Sections 14837 and 14838.5 of the Government Code, relating to public contracts."
1835425,One California program.,"An act to amend Sections 13300, 13301, 13303, 13304, 13305, and 13307 of, and to add Section 13311 to, the Welfare and Institutions Code, relating to immigration services."
1835426,Tribal gaming: compact ratification.,"An act to add Section 12012.113 to the Government Code, relating to tribal gaming, and declaring the urgency thereof, to take effect immediately."
1835428,Crimes: loitering for the purpose of engaging in a prostitution offense.,"An act to amend Section 782.1 of the Evidence Code, to amend Sections 647.3, 653.23, 653.29, and 1203.47 of, and to add Sections 653.20 and 653.22 to, the Penal Code, and to amend Sections 18259 and 18259.3 of the Welfare and Institutions Code, relating to crimes."
1835429,Sexually violent predators: conditional release.,"An act to add Section 6608.3 to the Welfare and Institutions Code, relating to sexually violent predators."
1835430,Sexually violent predators.,"An act to amend Section 6608.5 of the Welfare and Institutions Code, relating to sexually violent predators."
1835433,Enforcement of money judgments: exemptions.,"An act to amend Section 704.030 of the Code of Civil Procedure, relating to civil actions."
1835439,Controlled substances: fentanyl trafficking penalties.,"An act to amend Section 11353.1 of the Health and Safety Code, relating to controlled substances."
1835446,School-Based Health and Education Partnership Program.,"An act to amend Sections 124174.2, 124174.3, 124174.4, and 124174.6 of, to repeal Section 124174.5 of, and to repeal and add Section 124174 of, the Health and Safety Code, relating to public health."
1835449,Criminal procedure: expungement of records.,"An act to add and repeal Section 1203.46 of the Penal Code, relating to criminal procedure."
1835450,Homelessness spending portal.,"An act to add Section 8258 to the Welfare and Institutions Code, relating to homelessness."
1835453,Tenancy: obligations of landlords: repairs.,"An act to add Section 1941.8 to the Civil Code, relating to tenancy."
1835459,Criminal justice records: offender data.,"An act to amend Section 1170.45 of, and to add Sections 745.1, 2069, and 13012.3 to, the Penal Code, relating to criminal justice records."
1835460,The California Food Safety Act.,"An act to add Section 109027 to the Health and Safety Code, relating to food."
1837734,Trustees of the California State University: faculty appointees.,"An act to amend Section 66602 of the Education Code, relating to the California State University."
1837741,Agriculture Trust Fund: audit.,"An act to amend Section 239 of the Food and Agricultural Code, relating to the Agriculture Trust Fund."
1837742,Substance abuse testing and treatment.,"An act to amend Section 11999.20 of the Health and Safety Code, relating to substance abuse."
1837748,California Gambling Control Commission.,"An act to amend Section 19813 of the Business and Professions Code, relating to gambling."
1837751,California Environmental Quality Act: disclosure: identity and interests.,"An act to amend Section 21167.1 of the Public Resources Code, relating to environmental quality."
1837753,Local government: collection of demographic data.,"An act to add Section 53060.8 to the Government Code, relating to local government."
1837754,Office of Farm to Fork: food deserts: transportation.,"An act to amend Section 49001 of the Food and Agricultural Code, relating to food and agriculture."
1837756,Energy: small modular reactors: feasibility study.,"An act to add and repeal Section 711 of the Public Utilities Code, relating to energy."
1837764,"School and charter schools: payment of teachers in 10, 11, or 12 equal payments.","An act to amend Section 45038 of, and to add Section 45038.5 to, the Education Code, relating to school employees."
1837765,Statewide strategic stockpile.,"An act to add Section 131126 to the Health and Safety Code, relating to public health."
1837766,For-hire vessels: organized camps: camp vessels.,"An act to amend Section 760 of, and to add Sections 759.1 and 763 to, the Harbors and Navigation Code, relating to vessels."
1837774,Medi-Cal: Adverse Childhood Experiences trauma screenings: providers.,"An act to add Section 14105.198 to the Welfare and Institutions Code, relating to public health."
1837780,Road Maintenance and Rehabilitation Account: University of California: California State University: reports.,"An act to amend Section 2032 of the Streets and Highways Code, relating to transportation."
1839057,Elementary and secondary education: school districts: local authority.,"An act to amend Section 35160 of the Education Code, relating to elementary and secondary education."
1839060,Substance use disorder treatment: licensing.,"An act to amend Section 11834.09 of the Health and Safety Code, relating to substance use disorder treatment."
1839061,Child welfare: Indian children.,"An act to amend Section 224.4 of the Welfare and Institutions Code, relating to child welfare."
1839063,Department of Parks and Recreation: swimming lesson vouchers.,"An act to add Section 515 to the Public Resources Code, relating to water safety."
1839065,Educational Management and Evaluation Commission: repeal.,"An act to repeal Article 4 (commencing with Section 33550) of Chapter 4 of Part 20 of Division 2 of Title 2 of the Education Code, relating to education governance."
1839067,Income and corporation taxes: credits: work opportunity credit.,"An act to add and repeal Sections 17053.10 and 23621.1 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1839072,Veterinary medicine: registered veterinary technicians.,"An act to amend Section 4840.2 of, and to add Section 4840.3 to, the Business and Professions Code, relating to veterinary medicine."
1839078,Horse racing: minisatellite wagering facilities.,"An act to amend Section 19605.25 of the Business and Professions Code, relating to horse racing."
1839079,Housing: Building Home Ownership for All Program.,"An act to add Section 12335 to the Government Code, relating to housing."
1839080,Cash assistance programs: direct deposit.,"An act to amend Section 11006.2 of the Welfare and Institutions Code, relating to public social services."
1839081,Prisons: mental health.,"An act to add Section 2693 to the Penal Code, relating to prisons."
1839084,Driving privilege: suspension.,"An act to amend Section 13362 of the Vehicle Code, relating to vehicles."
1839086,Clean Transportation Program: hydrogen-fueling stations: report: job creation and workforce development.,"An act to amend Section 43018.9 of the Health and Safety Code, relating to air pollution."
1839089,Public social services: higher education.,"An act to amend Section 10006 of the Welfare and Institutions Code, relating to public social services."
1839090,Bail.,"An act to amend Section 1275 of the Penal Code, relating to bail."
1839091,California State University: University of California: graduation requirements: service learning pilot program.,"An act to add Section 66014.7 to the Education Code, relating to public postsecondary education."
1839092,California Public Records Act: public agency employees: notice requirements: personnel and medical information.,"An act to amend Section 7922.535 of the Government Code, relating to public records."
1839094,Bilingual-Oriented Social Equity Services Grant Program.,"An act to add Chapter 4 (commencing with Section 10095.1) to Part 1 of Division 9 of the Welfare and Institutions Code, relating to public social services."
1839095,Vital records: diacritical marks.,"An act to add Sections 102134 and 103227 to the Health and Safety Code, relating to vital records."
1839097,Vehicles: disabled veterans.,"An act to amend Sections 5007 and 22511.55 of the Vehicle Code, relating to vehicles."
1839099,California Women’s Care Act.,"An act to add Chapter 6 (commencing with Section 1565.1) to Title 12 of Part 2 of the Penal Code, relating to crimes."
1839101,Shellfish and seaweed operations: marine restoration projects.,An act relating to fish and wildlife.
1839102,California-Ireland Trade Commission.,"An act to add Chapter 3 (commencing with Section 99530) to Title 20 of the Government Code, relating to international relations."
1840382,Prisons: prosecution of nonfelony offenses.,"An act to add Section 1386.1 to the Penal Code, relating to prisons."
1840384,Public health: alcoholism or drug abuse recovery.,"An act to amend Section 11834.01 of the Health and Safety Code, relating to public health."
1840385,Water: Department of Water Resources.,"An act to amend Section 120 of the Water Code, relating to water."
1840389,Hospital specialties database.,"An act to add Section 128741 to the Health and Safety Code, relating to health facilities."
1840394,Health care coverage: cost sharing.,"An act to amend, repeal, and add Section 1367.243 of, and to add and repeal Section 1367.0062 of, the Health and Safety Code, and to amend, repeal, and add Section 10123.205 of, and to add and repeal Section 10192.292 of, the Insurance Code, relating to health care coverage."
1840397,Public employees’ retirement benefits: final compensation.,"An act to amend Section 7522.32 of the Government Code, relating to public employees’ retirement."
1840398,Student financial aid: Cal Grant C and Cal Grant 2.,"An act to amend Sections 69409, 69424, 69432, and 69439 of the Education Code, relating to student financial aid."
1840399,Employment agencies: domestic workers.,"An act to amend Section 1812.5095 of the Civil Code, relating to employment services."
1840401,Office of Tenants’ Rights and Protections.,"An act to add Chapter 11 (commencing with Section 12999.50) to Part 2.8 of Division 3 of Title 2 of the Government Code, relating to tenancy."
1840402,Vehicles: pollution control devices.,"An act to amend Section 27156 of the Vehicle Code, relating to vehicles."
1840403,County board of supervisors: members.,"An act to amend Section 25000 of the Government Code, relating to local government."
1840404,California Environmental Quality Act: expedited judicial review: infrastructure projects: hydrogen.,"An act to amend Section 21189.81 of the Public Resources Code, relating to environmental quality."
1840405,"California Earned Income Tax Credit Outreach, Education, and Free Tax Assistance Grant Program.","An act to add Part 10.3.5 (commencing with Section 19859) to Division 2 of the Revenue and Taxation Code, relating to taxation."
1840409,Fentanyl.,An act relating to fentanyl.
1840414,Guaranteed Health Care for All.,"An act to add Title 23 (commencing with Section 100600) to the Government Code, relating to health care coverage, and making an appropriation therefor."
1840415,Toxics: air care products.,"An act to add Chapter 12.6 (commencing with Section 25966) to Division 20 of the Health and Safety Code, relating to toxics."
1840418,Green hydrogen.,"An act to add Chapter 19 (commencing with Section 25996.5) to Division 15 of the Public Resources Code, relating to green hydrogen."
1840419,Electricity: mandatory rate reduction.,"An act to add Section 739.14 to the Public Utilities Code, relating to electricity."
1840420,Child daycare facilities: fire clearance requirements.,"An act to amend Sections 1596.809 and 13235 of the Health and Safety Code, relating to care facilities."
1840422,California Ports Development and Offshore Wind Infrastructure Bond Act of 2024.,"An act to add Division 49 (commencing with Section 81000) to the Public Resources Code, relating to the California Ports Development and Offshore Wind Infrastructure Bond Act of 2024, by providing the funds necessary therefor through an election for the issuance and sale of bonds of the State of California and for the handling and disposition of those funds."
1840424,Driving under the influence: ignition interlock devices.,"An act to add and repeal Article 8 (commencing with Section 23599) of Chapter 2 of Division 11.5 of the Vehicle Code, relating to vehicles."
1840425,Insurance.,"An act to amend Section 39 of the Insurance Code, relating to insurance."
1840426,Energy: offshore wind workforce safety training facilities.,"An act to add and repeal Chapter 19 (commencing with Section 25997) of Division 15 of the Public Resources Code, relating to energy."
1840431,Tianeptine.,"An act to add Chapter 16.7 (commencing with Section 109024) to Part 3 of Division 104 of the Health and Safety Code, relating to public health."
1840432,Enhanced Services for Asylees and Vulnerable Noncitizens (ESAVN) program.,"An act to amend Sections 13650 and 13651 of the Welfare and Institutions Code, relating to public social services."
1840433,Personal income tax: credit: home security surveillance.,"An act to add and repeal Section 17053.4 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1840434,Fish: commercial fishing.,"An act to amend Sections 8380, 8599, 8610.3, and 8681.5 of, and to add Section 7701.5 to, the Fish and Game Code, relating to fish."
1840435,Broadband projects: electric power design approval.,"An act to add Chapter 8 (commencing with Section 8395) to Division 4.1 of the Public Utilities Code, relating to communications."
1840436,Science of Reading: accreditation: professional development: instructional materials.,"An act to amend Sections 44372, 44373, 44374, 52073.1, 60119, 60200, 60200.4, and 60210 of, to add Sections 44265.1, 44374.1, 44374.2, 60011, 60207.5, and 92668.5 to, and to add Chapter 3.5 (commencing with Section 44755) to Part 25 of Division 3 of Title 2 of, the Education Code, relating to early literacy."
1841924,Residential Housing Unfair Practices Act of 2023.,"An act to amend Sections 16720, 16727, 17020, and 17022 of, and to add Section 16720.1 to, the Business and Professions Code, relating to business regulation."
1841927,Building standards: toilet compartments.,"An act to add Section 18941.18 to the Health and Safety Code, relating to building standards."
1841935,Public social services: reporting and verification.,"An act to add Section 10504 to the Welfare and Institutions Code, relating to public social services."
1841936,Dentistry: dental assistants.,"An act to amend Sections 1740, 1741, 1747, 1750.1, 1750.3, 1750.5, and 1752.4 of, to add Sections 1747.5, 1748, 1748.6, 1749.2, 1749.3, 1749.4, 1750.35, 1753.1, 1753.2, 1753.3, 1754, 1754.5, and 1755 to, to repeal Sections 1749.1, 1750, 1751, 1752.1, 1752.6, 1753, 1753.5, 1753.55, 1753.6, and 1753.7 of, and to repeal and add Sections 1750.2 and 1750.4 of, the Business and Professions Code, relating to healing arts."
1841946,Department of Fish and Wildlife: beaver translocation.,"An act to Article 2 (commencing with Section 4030) to Chapter 2 of Part 3 of Division 4 of the Fish and Game Code, relating to beaver."
1841947,Public health.,"An act to amend Section 131000 of the Health and Safety Code, relating to public health."
1841949,Adoption Assistance Program: eligibility.,"An act to amend Section 16120 of the Welfare and Institutions Code, relating to human services."
1841950,Net energy metering.,"An act to add Section 2827.2 to the Public Utilities Code, relating to electricity."
1841958,Occupational safety and health: heat illness prevention certification.,"An act to add Section 6721.5 to the Labor Code, relating to private employment."
1841959,Animals: euthanasia.,"An act to amend Sections 17005 and 17006 of, and to add Sections 32004 and 32005 to, the Food and Agricultural Code, relating to animals."
1841960,California Hybrid and Zero-Emission Truck and Bus Voucher Incentive Project: vehicle eligibility.,"An act to add Chapter 5.6 (commencing with Section 44160) to Part 5 of Division 26 of the Health and Safety Code, relating to air pollution."
1841961,Youth Reinvestment Grant Program.,"An act to add Chapter 6 (commencing with Section 2300) to Division 2.5 of, and to repeal Chapter 5 (commencing with Section 1450) of Part 1 of Division 2 of, the Welfare and Institutions Code, relating to youth."
1841966,Licenses: sale of shochu and soju.,"An act to amend Section 23398.5 of the Business and Professions Code, relating to alcoholic beverages."
1841967,Career technical education: California Pilot Paid Internship Program.,"An act to add Chapter 16.6 (commencing with Section 53077) to Part 28 of Division 4 of Title 2 of the Education Code, relating to career technical education, and making an appropriation therefor."
1841968,Taxation: sales and use taxes: exemption: school supplies tax holiday.,"An act to add and repeal Section 6370.3 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1841974,Jails: confidential calls.,"An act to add Section 4034 to the Penal Code, relating to jails."
1845061,Personal Income Tax Law: Corporation Tax Law: New Employment Credit.,"An act to amend Sections 17053.73 and 23626 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1845063,Enhancements: concentrated cannabis.,"An act to amend Section 11379.7 of the Health and Safety Code, relating to crimes."
1845070,Health and care facilities: prospective payment system rate increase.,"An act to add Section 14124.17 to the Welfare and Institutions Code, relating to health and care facilities."
1845073,Sensitive military land: foreign ownership and interests: prohibited foreign actors.,"An act to add and repeal Chapter 6 (commencing with Section 747.10) of Title 2 of Part 1 of Division 2 of the Civil Code, relating to property."
1845074,California Victim Compensation Board: reimbursement: self-defense courses.,"An act to amend Section 13957 of the Government Code, relating to victims of crime, and making an appropriation therefor."
1845079,Personal income taxes: deduction: qualified education loans.,"An act to add and repeal Section 17201.8 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy."
1845081,Tribal housing developments: use by right: density.,"An act to add Article 11.1 (commencing with Section 65658) to Chapter 3 of Division 1 of Title 7 of the Government Code, relating to housing."
1845082,Mental health: programs for seriously emotionally disturbed children and court wards and dependents.,"An act to amend Section 4094.5 of the Welfare and Institutions Code, relating to mental health."
1845088,Prisons: employee accommodations.,"An act to add Section 5009.1 to the Penal Code, relating to prisons."
1845095,Classified employees: school and community college districts: merit system: disciplinary action.,"An act to amend Sections 45302 and 88121 of the Education Code, relating to classified employees."
1845096,Energy: California Affordable Decarbonization Authority.,"An act to add Division 8 (commencing with Section 19000) to the Public Utilities Code, relating to energy."
1845099,Corrections: health care.,"An act to add Sections 2694.51, 2694.52, and 5058.55 to the Penal Code, relating to corrections."
1845101,Surplus land.,"An act to amend Section 54222 of the Government Code, relating to surplus land."
1845103,Controlled substances: armed possession: fentanyl.,"An act to amend Section 11370.1 of the Health and Safety Code, relating to controlled substances."
1845108,Criminal procedure: sentencing credits.,"An act to add Sections 2937 and 4019.7 to the Penal Code, relating to criminal procedure."
1845109,Medi-Cal: critical access hospitals: islands.,"An act to add Section 14105.175 to the Welfare and Institutions Code, relating to Medi-Cal."
1845111,Fire prevention: grant programs: reporting.,"An act to add Section 4772 to the Public Resources Code, relating to fire prevention."
1845118,Suspensions and expulsions: acts occurring outside of school hours.,"An act to amend, repeal, and add Sections 48900, 48900.2, 48900.3, 48900.4, 48900.5, 48900.7, and 48900.8 of the Education Code, relating to pupil discipline."
1845121,Criminal procedure: sentencing.,"An act to amend Sections 236.14 and 236.15 of the Penal Code, relating to criminal procedure."
1845123,Medi-Cal: monthly maintenance amount: personal and incidental needs.,"An act to amend Section 14005.12 of the Welfare and Institutions Code, relating to Medi-Cal."
